glottocode	SAHUL001	SAHUL002	SAHUL003	SAHUL004	SAHUL005	SAHUL006	SAHUL007	SAHUL008	SAHUL009	SAHUL010	SAHUL011	SAHUL012	SAHUL013	SAHUL014	SAHUL015	SAHUL016	SAHUL017	SAHUL018	SAHUL019	SAHUL020
kuan1248	NA	NA	1	0	1	0	1	NA	NA	0	1	NA	0	NA	NA	NA	1	NA	NA	1
kuma1276	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0
kuot1243	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
lard1243	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0
lavu1241	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1
long1395	NA	NA	1	1	1	0	1	NA	NA	0	0	NA	0	NA	NA	NA	0	NA	NA	0
mada1285	NA	NA	1	0	1	1	1	NA	NA	0	1	NA	NA	NA	NA	NA	1	NA	NA	0
mais1250	0	0	1	0	0	0	1	0	0	0	1	0	NA	NA	NA	NA	1	0	0	0
maka1311	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1
mali1284	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1
mana1295	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0
mang1403	NA	NA	1	0	1	0	1	NA	NA	0	0	NA	0	NA	NA	NA	1	NA	NA	0
maor1246	1	NA	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1
mara1385	1	1	0	0	1	0	0	1	1	0	0	0	NA	NA	NA	0	1	1	1	0
maun1240	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	1	1
mauw1238	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
mend1268	1	0	1	1	1	0	0	1	0	0	0	0	0	NA	1	0	1	1	0	0
meng1267	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0
meny1245	0	0	1	1	0	0	0	1	0	0	0	1	0	NA	NA	NA	1	1	0	1
